Line,Pada,Meter,MP1,MP2,MP3,MP4,MP5,MP6,MP7,MP8
1.001.01a,a,G,H,L,H,H,L,H,L,L
1.001.01b,b,G,H,H,L,H,L,H,L,L
1.001.01c,c,G,H,H,H,H,L,H,L,L
1.001.02a,a,G,H,H,H,H,L,L,L,L
1.001.02b,b,G,H,L,H,H,L,H,L,L
1.001.02c,c,G,L,H,H,H,L,H,L,L
1.001.03a,a,G,H,L,H,L,L,H,L,L
1.001.03b,b,G,H,L,H,L,L,H,L,H
1.001.03c,c,G,L,L,H,H,L,H,L,L
1.001.04a,a,G,H,H,H,H,L,H,L,L
1.001.04b,b,G,H,L,H,L,L,H,L,L
1.001.04c,c,G,L,H,H,H,L,L,L,L
1.001.05a,a,G,H,H,H,H,L,H,L,L
1.001.05b,b,G,H,H,H,H,L,H,L,L
1.001.05c,c,G,H,H,H,H,L,H,L,L
1.001.06a,a,G,L,H,L,H,L,H,L,L
1.001.06b,b,G,H,H,H,H,L,H,L,L
1.001.06c,c,G,L,H,H,H,L,H,L,L
1.001.07a,a,G,L,L,H,H,L,H,L,H
1.001.07b,b,G,H,H,H,H,L,H,L,L
1.001.07c,c,G,L,H,L,H,L,H,L,L
1.001.09a,a,G,L,H,L,H,L,H,L,H
1.001.09b,b,G,H,H,H,H,L,H,L,L
1.001.09c,c,G,L,H,H,H,L,H,L,H
1.002.01a,a,G,H,L,H,H,L,H,L,L
1.002.01b,b,G,L,H,H,L,L,H,L,H
1.002.01c,c,G,H,H,H,L,L,H,L,L
1.002.02a,a,G,H,L,H,H,H,L,H,H
1.002.02b,b,G,L,H,L,H,L,L,H,L
1.002.02c,c,G,L,L,H,L,L,H,L,L
1.002.03a,a,G,H,H,L,L,L,H,L,H
1.002.03b,b,G,H,H,L,H,L,H,L,H
1.002.03c,c,G,L,H,H,H,L,H,L,H
1.002.04a,a,G,H,L,H,L,L,H,L,H
1.002.04b,b,G,L,L,L,H,L,H,L,L
1.002.04c,c,G,H,L,H,H,L,H,L,L
1.002.05a,a,G,H,L,H,H,L,H,L,L
1.002.05b,b,G,L,H,H,H,L,H,L,H
1.002.05c,c,G,H,H,H,L,L,L,L,L
1.002.06a,a,G,H,L,H,H,L,H,L,L
1.002.06b,b,G,H,H,L,L,L,H,L,L
1.002.06c,c,G,H,L,H,H,L,H,L,H
1.002.07a,a,G,H,H,L,H,H,L,H,L
1.002.07b,b,G,L,L,H,L,L,H,L,L
1.002.07c,c,G,L,H,L,H,H,H,H,H
1.002.08a,a,G,L,H,L,H,H,L,L,H
1.002.08b,b,G,L,H,L,H,L,H,L,H
1.002.08c,c,G,L,H,L,H,L,H,L,H
1.002.09a,a,G,L,H,H,H,H,L,L,H
1.002.09b,b,G,L,L,H,L,L,H,L,H
1.002.09c,c,G,H,H,L,H,L,L,L,L
1.003.01a,a,G,H,L,H,H,L,H,L,H
1.003.01b,b,G,L,H,H,H,L,H,L,H
1.003.01c,c,G,L,L,L,H,L,H,L,L
1.003.02a,a,G,H,L,H,L,L,H,L,H
1.003.02b,b,G,L,H,L,H,L,H,L,H
1.003.02c,c,G,H,L,H,L,L,H,L,L
1.003.03a,a,G,H,H,L,H,L,H,L,H
1.003.03b,b,G,H,H,H,H,L,H,L,L
1.003.03c,c,G,H,H,H,H,L,H,L,H
1.003.04a,a,G,H,H,H,L,H,L,H,H
1.003.04b,b,G,L,L,L,H,L,H,L,L
1.003.04c,c,G,H,H,H,L,H,H,H,L
1.003.05a,a,G,H,H,H,L,L,H,L,H
1.003.05b,b,G,H,L,H,H,L,H,L,L
1.003.05c,c,G,L,L,H,H,L,H,L,L
1.003.06a,a,G,H,H,H,L,H,L,H,L
1.003.06b,b,G,L,L,H,H,L,L,L,L
1.003.06c,c,G,L,H,L,H,L,H,L,L
1.003.07a,a,G,H,H,H,H,L,H,L,H
1.003.07b,b,G,H,H,H,H,L,H,L,L
1.003.07c,c,G,H,H,H,H,L,H,L,L
1.003.08a,a,G,H,H,H,H,L,H,L,L
1.003.08b,b,G,L,L,H,H,L,H,L,L
1.003.08c,c,G,H,L,L,L,L,L,H,L
1.003.09a,a,G,H,H,H,H,L,H,L,L
1.003.09b,b,G,H,L,H,H,L,H,L,L
1.003.09c,c,G,H,H,L,H,L,H,L,L
1.003.10a,a,G,L,H,H,H,L,H,L,H
1.003.10b,b,G,H,H,H,H,L,H,L,H
1.003.10c,c,G,H,H,H,L,L,H,L,L
1.003.12a,a,G,L,H,H,H,L,H,L,H
1.003.12b,b,G,L,H,L,L,L,H,L,H
1.003.12c,c,G,L,H,H,H,L,H,L,L
1.004.01a,a,G,L,H,L,H,L,H,L,H
1.004.01b,b,G,L,L,H,L,L,H,L,H
1.004.01c,c,G,L,H,L,L,L,H,L,L
